VIN (1-10),County,City,State
1G1RB6E4XE,King,Kent,WA
KM8K23AG4M,King,Seattle,WA
YV4ED3UR9N,King,Seattle,WA
5YJ3E1EA4M,Snohomish,Edmonds,WA
WVGGNPE2XN,King,Seattle,WA
5YJYGAEE3M,King,Auburn,WA
5YJ3E1EB5K,Chelan,Entiat,WA
1G1RA6E46D,Snohomish,Everett,WA
3FA6P0SU2G,Pierce,Lakewood,WA
1G1RA6E45D,Snohomish,Everett,WA
5YJ3E1EBXK,Pierce,Lake Tapps,WA
1G1FX6S06J,King,Seattle,WA
1N4AZ0CP9E,King,Sammamish,WA
5YJ3E1EB2J,Pierce,Tacoma,WA
JTDKN3DP9C,King,Bellevue,WA
7SAYGDEEXN,Clark,Vancouver,WA
3FMTK2SU2N,Thurston,Olympia,WA
KNDCT3L15P,Spokane,Spokane,WA
1N4BZ0CPXH,King,Kirkland,WA
W1N9M0KB7N,King,Seattle,WA
3FMTK1RM3N,Pierce,Tacoma,WA
WP0AB2Y14L,King,Seattle,WA
5YJXCAE49H,King,Newcastle,WA
JTMAB3FV2M,Kitsap,Port Orchard,WA
5YJ3E1EB7N,Whatcom,Bellingham,WA
3FMTK2SU8N,Thurston,Olympia,WA
WVWKP7AU3G,Clark,Vancouver,WA
1N4BZ1DP6L,Benton,Richland,WA
5YJYGDEEXM,Kitsap,Bainbridge Island,WA
5YJYGDEE5L,Grant,Moses Lake,WA
5YJ3E1EA7N,King,Bellevue,WA
1N4AZ1CP0K,Snohomish,Snohomish,WA
5YJYGDEE3L,Island,Camano Island,WA
JTDKARFP7H,Pierce,Tacoma,WA
WVWKR7AU2K,Chelan,Wenatchee,WA
5YJ3E1EA8K,King,Seattle,WA
1N4AZ0CP3D,King,Seattle,WA
1G1FW6S03H,King,Seattle,WA
5YJ3E1EA0M,Snohomish,Lake Stevens,WA
WP0AB2Y13L,Snohomish,Bothell,WA
5YJYGAEE1M,Clark,Vancouver,WA
YV4ED3GB5N,King,Seattle,WA
1G1FZ6S06M,Clark,Vancouver,WA
KNDCC3LG6N,Clark,Vancouver,WA
3FMTK3SU1M,Skagit,Anacortes,WA
3FA6P0PU5H,Whatcom,Bellingham,WA
1N4AZ1CP3L,Kitsap,Poulsbo,WA
5YJYGDEE2M,King,Seattle,WA
5YJYGDEE0M,Island,Clinton,WA
5YJSA1E24H,King,Kirkland,WA
JTDKARFPXJ,Pierce,Roy,WA
5YJSA1H22F,Pierce,Gig Harbor,WA
5YJ3E1EBXM,King,Seattle,WA
5YJSA1V41F,Snohomish,Snohomish,WA
JHMZC5F34J,King,Des Moines,WA
JTDKARFP0H,King,Renton,WA
7SAYGDEFXN,King,Seattle,WA
1G1FY6S03L,Whatcom,Bellingham,WA
WBY7Z4C50J,Clark,Camas,WA
5YJYGDEF0M,King,Bellevue,WA
5YJSA1E56N,King,Seattle,WA
7SAXCBE51N,King,Issaquah,WA
1G1FX6S0XJ,King,Seattle,WA
YV4ED3UR3M,Pierce,Gig Harbor,WA
KNDRJDLH8N,Snohomish,Bothell,WA
JTDKN3DP3D,Benton,Kennewick,WA
5YJYGAEE6M,Kittitas,Ellensburg,WA
1G1RB6S57J,King,Redmond,WA
1N4BZ0CP3G,Chelan,Wenatchee,WA
5YJ3E1EB2K,Spokane,Spokane,WA
JTDKARFP9H,King,Seattle,WA
5YJ3E1EA8N,Kitsap,Port Orchard,WA
5YJYGDEE1M,King,Issaquah,WA
WVWKR7AUXJ,Thurston,Olympia,WA
5YJ3E1EA7N,King,Seattle,WA
KNDCM3LD1N,King,Renton,WA
WVWKP7AUXG,Snohomish,Bothell,WA
5YJXCAE21K,King,Burien,WA
7SAYGDEE4N,Kitsap,Port Orchard,WA
1N4AZ1CP9K,Kitsap,Bainbridge Island,WA
1G1FX6S05H,Pierce,Tacoma,WA
5YJ3E1EBXN,Snohomish,Lynnwood,WA
1N4AZ0CP1E,Snohomish,Snohomish,WA
1N4AZ0CP7F,Benton,Richland,WA
1N4BZ0CPXG,King,Seattle,WA
YV4BR0DL3N,Clark,Battle Ground,WA
5YJ3E1EB2K,Snohomish,Snohomish,WA
KNDCC3LG7N,Pierce,Bonney Lake,WA
1G1RA6E49D,King,Maple Valley,WA
7SAYGAEEXN,King,Mercer Island,WA
7FCTGAAA1N,Yakima,Yakima,WA
5YJXCAE23L,King,Redmond,WA
7SAYGAEE0N,Clark,Vancouver,WA
1N4AZ1CP8K,King,Seattle,WA
5YJYGDEE3M,King,Seattle,WA
JTMAB3FV7M,Walla Walla,Walla Walla,WA
5YJ3E1EB6N,King,Bothell,WA
5YJ3E1EA7J,King,Redmond,WA
7SAXCDE52N,King,North Bend,WA
7SAYGDEFXN,King,Bellevue,WA
5YJ3E1EB6J,Snohomish,Monroe,WA
5YJSA1E64M,King,Seattle,WA
1N4AZ0CP0D,King,Kirkland,WA
5YJYGDEF4M,King,Seattle,WA
5YJ3E1EA3J,Whatcom,Bellingham,WA
5YJSA1H16E,King,Renton,WA
5YJSA1H12E,King,Sammamish,WA
1N4BZ1DV9N,King,Redmond,WA
7SAYGDEFXN,Thurston,Olympia,WA
5YJ3E1EB2K,King,Kent,WA
5YJYGDEE4L,Skagit,Mount Vernon,WA
WP1AE2AY5K,Pierce,Gig Harbor,WA
1G1FY6S04L,King,Bellevue,WA
5YJYGDEE2L,King,Renton,WA
1C4JJXP6XM,Clark,Woodland,WA
5YJ3E1EA2L,King,Seattle,WA
1G1RA6E43D,Pierce,South Hill,WA
1N4BZ0CP9H,King,Woodinville,WA
1N4AZ1CP7J,King,Woodinville,WA
1G1FX6S06H,Thurston,Olympia,WA
5YJYGDEE2L,King,Newcastle,WA
5YJYGDEE7L,Snohomish,Bothell,WA
1N4BZ1BV6M,Mason,Allyn,WA
3FA6P0SU3J,King,Seattle,WA
5YJYGAEEXM,King,Woodinville,WA
7FCTGAAL7N,King,Kirkland,WA
5YJ3E1EB6L,King,Kirkland,WA
5YJXCAE28L,King,Sammamish,WA
WBY1Z8C34H,Benton,Richland,WA
5YJYGDEE5L,Snohomish,Brier,WA
1N4BZ1BV1N,Snohomish,Mukilteo,WA
5YJ3E1EA0J,King,Seattle,WA
5YJ3E1EA8J,King,Bellevue,WA
5YJ3E1EB0M,King,Snoqualmie,WA
1N4AZ1CVXN,King,Redmond,WA
5YJYGDEE1M,King,Fall City,WA
7SAYGAEE6N,Snohomish,Lynnwood,WA
1G1RE6E48E,Pierce,Puyallup,WA
1N4AZ0CP1F,Clark,Camas,WA
JN1AZ0CP8C,Benton,Richland,WA
5YJYGDEE6M,Snohomish,Brier,WA
5UXTS1C04M,San Juan,Friday Harbor,WA
1N4AZ1CP3J,King,Seattle,WA
WMZYU7C57K,Clark,Camas,WA
1N4BZ0CP9H,Chelan,Wenatchee,WA
1C4JJXP67N,Pierce,Puyallup,WA
JTDKARFP6J,Whatcom,Point Roberts,WA
5YJSA1E63M,King,Kirkland,WA
5YJ3E1EA3J,King,Renton,WA
5YJ3E1EB6K,King,Mercer Island,WA
1N4AZ0CP5F,King,Woodinville,WA
WVGUNPE20M,Whatcom,Bellingham,WA
5YJ3E1EB3M,King,Woodinville,WA
JHMZC5F16J,King,Bothell,WA
3FA6P0SU0G,Clark,Vancouver,WA
5YJXCAE23J,Snohomish,Bothell,WA
2C4RC1S75N,King,Mercer Island,WA
1G1RA6S51J,Pierce,Dupont,WA
JTDKARFP7L,King,Sammamish,WA
7JRBR0FL1M,Benton,Richland,WA
1G1RD6S59H,Snohomish,Everett,WA
7SAYGDEEXN,King,Bellevue,WA
5YJYGDEE7M,King,Seattle,WA
KNDC3DLC1N,King,Seattle,WA
5YJ3E1EB6L,Snohomish,Bothell,WA
5YJ3E1EA4L,King,Woodinville,WA
JTDKARFP9J,Cowlitz,Castle Rock,WA
1N4AZ1CP4J,Snohomish,Woodinville,WA
WMEEJ9AA4F,Whatcom,Blaine,WA
5YJ3E1EB6N,King,Sammamish,WA
3FA6P0PU3H,King,Seattle,WA
5UXTA6C05N,King,Auburn,WA
5YJ3E1EB7N,Clark,Vancouver,WA
1N4BZ1BV0M,Benton,Kennewick,WA
1G1RH6E45E,King,Woodinville,WA
5YJ3E1EB2M,King,Issaquah,WA
1G1FX6S07H,Spokane,Spokane,WA
5YJ3E1EB6N,King,Burien,WA
7JRBR0FL6N,King,Seattle,WA
5YJ3E1EA9H,Spokane,Spokane,WA
3C3CFFGE1E,Lewis,Morton,WA
WAUTPBFF1H,King,Seattle,WA
5YJ3E1EA8K,Snohomish,Everett,WA
1G1RE6E44E,King,Seattle,WA
1N4AZ0CPXG,King,Seattle,WA
5YJSA1E23F,King,Seattle,WA
5YJ3E1EA9J,Jefferson,Port Townsend,WA
1C4RJYB68N,King,Kirkland,WA
5YJ3E1EB9M,Kittitas,Roslyn,WA
WBY1Z4C50E,King,Seattle,WA
1N4CZ1CV8P,King,Burien,WA
3FMTK4SE0M,King,Kenmore,WA
5YJYGDEE2M,King,Bellevue,WA
5YJ3E1EC9L,Kitsap,Bainbridge Island,WA
5YJYGDEE8L,King,Covington,WA
1N4BZ1CP8K,King,Seattle,WA
JTMAB3FV9M,Snohomish,Everett,WA
5YJ3E1EB4N,King,Federal Way,WA
5YJYGDEE3L,Clark,Vancouver,WA
5YJYGDED2M,King,Kent,WA
5YJ3E1EA5L,Pierce,Lakewood,WA
5YJYGDEE0L,Chelan,Wenatchee,WA
5YJYGDEE2L,King,Seattle,WA
1N4AZ0CP1F,King,Seattle,WA
7FCTGAAL0N,Pierce,Puyallup,WA
5YJSA1E63M,Yakima,Yakima,WA
5YJ3E1EC3L,King,Redmond,WA
3C3CFFGE9F,King,Seattle,WA
1N4AZ0CPXD,Kitsap,Silverdale,WA
JTDKN3DP5C,King,Issaquah,WA
5YJ3E1EA3K,King,Seattle,WA
5YJ3E1EB4J,King,Seattle,WA
JTDKARFP5H,King,Seattle,WA
JTDKARFP1H,Snohomish,Everett,WA
3FA6P0SUXH,Pierce,Tacoma,WA
5YJ3E1EB6N,King,Seattle,WA
5YJ3E1EB6J,King,Redmond,WA
WBA8E1C54G,Kitsap,Bainbridge Island,WA
JTDKN3DP4C,King,Kent,WA
1N4AZ0CP4F,King,Kirkland,WA
KNDRMDLH4N,King,Seattle,WA
KM8K33AG4N,Snohomish,Lynnwood,WA
JF2GTDNC9K,King,Seattle,WA
1N4AZ0CP4F,Snohomish,Lynnwood,WA
2C4RC1L72K,King,Redmond,WA
1N4AZ0CP6D,King,Mercer Island,WA
5YJYGDEE3M,King,Issaquah,WA
5YJ3E1EB6K,King,Sammamish,WA
KNDCC3LDXK,Thurston,Olympia,WA
7SAYGAEE9N,King,Bellevue,WA
5YJ3E1EC8L,King,Medina,WA
5YJSA1E22G,King,Mercer Island,WA
KNDJX3AE6H,King,Renton,WA
5YJ3E1EB2J,King,Auburn,WA
5YJ3E1EA7L,King,Redmond,WA
5YJ3E1EB0J,King,Woodinville,WA
5YJ3E1EA7K,King,Shoreline,WA
5YJ3E1EB4K,King,Enumclaw,WA
5YJ3E1EB8L,Clallam,Sequim,WA
1G1FX6S01H,Skagit,Mount Vernon,WA
KM8KRDAF7N,King,Woodinville,WA
5YJ3E1EB0K,King,Seattle,WA
5UXTA6C09N,Snohomish,Bothell,WA
7SAYGDEE3N,King,Seattle,WA
5YJ3E1EA3J,Snohomish,Bothell,WA
5YJ3E1EC3N,Clark,Camas,WA
WMEEJ9AA1F,King,Bellevue,WA
JTDKAMFP3M,Douglas,Orondo,WA
1N4AZ0CP8F,King,Seattle,WA
5YJ3E1EA0N,King,Seattle,WA
KM8KM4AE1N,King,Redmond,WA
5YJ3E1EB9J,King,Kirkland,WA
1G1RH6E48E,Pierce,South Hill,WA
1N4AZ1CP4K,Clark,Vancouver,WA
5YJ3E1EB3M,King,Seattle,WA
5YJ3E1EA9J,King,Seattle,WA
KMHC75LJ7L,Kitsap,Port Orchard,WA
WBY1Z8C50H,Benton,Grandview,WA
5YJYGDEE4M,King,Redmond,WA
5YJYGDEE6L,Snohomish,Mill Creek,WA
1C4JJXP60N,Snohomish,Marysville,WA
1N4AZ1CP4K,King,Redmond,WA
KNDCC3LG7L,King,Kirkland,WA
5YJYGDEE8L,Clark,Vancouver,WA
5YJ3E1EB7L,Yakima,Zillah,WA
WBA8E1C53H,King,Bothell,WA
5YJ3E1EC5M,Pierce,Edgewood,WA
5YJYGDEE8M,King,North Bend,WA
JA4J24A52K,Thurston,Olympia,WA
5YJXCBE20K,King,Seattle,WA
1G1FW6S03J,King,Seattle,WA
5YJSA1E54N,King,Vashon,WA
1N4AZ1CP6J,Snohomish,Edmonds,WA
5YJ3E1EA8L,King,Bellevue,WA
5YJ3E1EA7M,Pierce,Tacoma,WA
5YJYGDEF3L,King,Seattle,WA
1N4AZ1CP5J,Klickitat,White Salmon,WA
5YJYGDEE9M,Island,Clinton,WA
5YJXCBE23H,King,Mercer Island,WA
5YJ3E1EB1N,King,Redmond,WA
5YJ3E1EC2M,Clark,Vancouver,WA
5YJYGDEEXM,King,Normandy Park,WA
5YJSA1E24J,Snohomish,Lake Stevens,WA
3FA6P0PU8J,King,Seattle,WA
2C4RC1N76L,King,Bellevue,WA
5YJ3E1EA5K,King,Redmond,WA
5YJ3E1EB9N,King,Renton,WA
5YJYGDEE2L,King,Seattle,WA
5YJYGDEE1M,Pierce,Fircrest,WA
7SAYGDEE7P,King,Seattle,WA
3FA6P0SU9E,King,Snoqualmie,WA
WAUTPBFF1J,King,Seattle,WA
5YJYGDEE6L,Clark,Vancouver,WA
1G1RA6E40D,Douglas,East Wenatchee,WA
5YJ3E1EA1H,King,Seattle,WA
1G1RC6S53H,Chelan,Peshastin,WA
3FA6P0SU4F,King,North Bend,WA
7SAYGDEF3N,King,Redmond,WA
7SAYGDEF0N,King,Sammamish,WA
5YJYGDEE5M,King,Seattle,WA
7SAYGDEE2N,Mason,Grapeview,WA
WA1LAAGE4K,King,Sammamish,WA
5YJ3E1EA4K,King,Seattle,WA
5YJXCAE41G,King,Newcastle,WA
5YJSA1E2XJ,Thurston,Olympia,WA
5YJRE1A1XA,King,Bellevue,WA
5YJXCDE25L,King,Mercer Island,WA
JF2GTDNC3K,Benton,Richland,WA
KM8K33AG5L,Clark,Vancouver,WA
1G1RF6E4XD,Chelan,Peshastin,WA
5YJYGDEF0M,King,Sammamish,WA
3FMTK3SU6N,King,Lake Forest Park,WA
5YJ3E1EA3J,Snohomish,Bothell,WA
1G1FY6S00K,King,Seattle,WA
5YJ3E1EB6M,King,Seattle,WA
YV4BR0CL1M,King,Seattle,WA
1C4JJXP65N,King,Kirkland,WA
5YJ3E1EB5J,King,Woodinville,WA
5YJYGDEE2M,Pierce,Steilacoom,WA
3FA6P0SUXG,Snohomish,Marysville,WA
5YJSA1E2XH,King,Bellevue,WA
5YJYGDEFXM,Pierce,Bonney Lake,WA
3FA6P0PU4F,Spokane,Spokane,WA
5YJYGAEE3M,Thurston,Lacey,WA
7SAYGAEE6N,Pierce,Sumner,WA
5YJ3E1EB0M,Geary,Junction City,KS
5YJYGDEEXM,Benton,Kennewick,WA
5YJ3E1EA8J,King,Redmond,WA
5YJ3E1EB6J,King,Seattle,WA
3FMTK4SE4N,Snohomish,Lynnwood,WA
JTDKARFP9K,Thurston,Olympia,WA
JN1AZ0CP1B,King,Kenmore,WA
3FA6P0SUXF,Spokane,Greenacres,WA
1G1FZ6S03L,Mason,Shelton,WA
KNDJX3AE9H,King,Seattle,WA
1N4BZ0CPXH,Pierce,Tacoma,WA
5YJ3E1EB8N,King,Redmond,WA
KNDJP3AE5J,King,Kirkland,WA
KNDCE3LGXL,King,Kent,WA
7SAYGDEE7P,Snohomish,Everett,WA
WBY8P8C0XL,King,Bellevue,WA
5YJ3E1EAXL,King,Bothell,WA
7SAYGAEE7N,Snohomish,Snohomish,WA
1G1FY6S0XM,King,Seattle,WA
1FADP5FUXH,Snohomish,Snohomish,WA
1N4BZ1DV7M,King,Seattle,WA
1G1RA6S52J,Lewis,Chehalis,WA
JTDKARFP6H,Jefferson,Port Townsend,WA
KNDCC3LG2K,Snohomish,Edmonds,WA
KNDCC3LD8M,King,Seattle,WA
5YJSA1H18F,King,Renton,WA
KNDC3DLC4N,Pierce,Steilacoom,WA
7SAYGDEE3P,Spokane,Spokane,WA
1G1FW6S03J,Skagit,Mount Vernon,WA
5YJYGDEE9M,King,Sammamish,WA
5YJ3E1EB5J,Whatcom,Bellingham,WA
1N4AZ1CP9J,King,Seattle,WA
5UXKT0C38H,Snohomish,Mill Creek,WA
5YJSA1E40G,King,Seattle,WA
WBY1Z4C53G,King,Redmond,WA
JHMZC5F30J,King,Kent,WA
5YJXCBE26H,Skagit,Anacortes,WA
1N4AZ0CPXG,Snohomish,Edmonds,WA
WBY1Z8C3XH,King,Bothell,WA
5UXKT0C57G,King,Sammamish,WA
5YJ3E1EB7N,King,Bellevue,WA
5YJ3E1EC4M,Thurston,Olympia,WA
JHMZC5F35J,King,Seattle,WA
5YJSA1E21G,King,Bellevue,WA
5YJ3E1EB9J,Snohomish,Mukilteo,WA
5YJYGDEF9L,King,Issaquah,WA
5YJ3E1EA7K,King,Issaquah,WA
WBY8P4C52K,Kitsap,Bainbridge Island,WA
7SAYGDEE4N,Pierce,Tacoma,WA
5YJXCBE26H,Spokane,Spokane,WA
KL8CK6S06F,Cowlitz,Longview,WA
1FTVW1EV3N,Grays Harbor,Pacific Beach,WA
WBY8P2C03M,Snohomish,Mill Creek,WA
1N4AZ1CV0N,Snohomish,Edmonds,WA
1N4AZ1CP4J,Snohomish,Lake Stevens,WA
7SAYGDEEXN,Snohomish,Woodinville,WA
1N4BZ1BV8N,King,Seattle,WA
WVWKP7AU9G,Clark,Battle Ground,WA
5YJ3E1EC0L,King,Sammamish,WA
KMHC75LH6K,King,Redmond,WA
5YJSA1E23J,King,North Bend,WA
1G1RA6S5XH,King,Bellevue,WA
5YJYGDEE6M,King,Snoqualmie,WA
LPSED3KA2N,King,Seattle,WA
7SAYGDEE1N,King,Seattle,WA
5YJ3E1EAXM,Whatcom,Everson,WA
1N4AZ0CP3F,Pierce,Tacoma,WA
1N4AZ0CPXE,Pierce,Lake Tapps,WA
WVGKMPE27M,King,Black Diamond,WA
5YJSA1S28F,King,Bellevue,WA
1N4BZ0CP4H,King,Seattle,WA
7SAYGDEE6N,Clark,Vancouver,WA
5YJYGDEE8M,King,Bellevue,WA
5YJ3E1EB1N,King,Seattle,WA
5YJSA1E48J,King,Bellevue,WA
KNDC3DLC3N,Clark,Vancouver,WA
WAUTPBF28M,Pierce,Tacoma,WA
5YJYGDEE1L,King,Woodinville,WA
5YJ3E1EB9J,Skamania,North Bonneville,WA
1G1RB6S52H,King,Seattle,WA
WMW13DJ05N,King,Seattle,WA
5YJ3E1EBXJ,Clark,Vancouver,WA
1N4AZ0CPXF,King,Seattle,WA
1FMCU0KZ3M,King,Bellevue,WA
WVGGNPE2XN,King,Lake Forest Park,WA
1N4BZ1CV8N,San Juan,Friday Harbor,WA
5YJYGDEFXM,Spokane,Spokane,WA
1N4AZ0CP6D,Clark,Vancouver,WA
5YJ3E1EB1N,King,Bellevue,WA
1N4BZ1BP5L,Island,Coupeville,WA
3FA6P0PU1G,Kitsap,Seabeck,WA
1N4AZ1CP1K,King,Bothell,WA
WP0AB2Y16N,King,Bellevue,WA
JTMAB3FV7N,Clark,Camas,WA
5YJSA1H24F,Whatcom,Point Roberts,WA
WMEEJ9AA8D,King,Mercer Island,WA
1G1FY6S07K,Kitsap,Bainbridge Island,WA
1G1FY6S07K,Thurston,Olympia,WA
1N4BZ1CP3K,King,Seattle,WA
7FCTGAAL4N,Clark,Battle Ground,WA
5YJ3E1EB2N,Snohomish,Arlington,WA
KNDJX3AE1G,King,Kirkland,WA
WVWPP7AU4F,Thurston,Olympia,WA
WA1AAAGE0N,Whatcom,Point Roberts,WA
3MW5P9J02M,Fairfax,Alexandria,VA
50EA1GBAXN,King,Bellevue,WA
5YJ3E1EB4N,Benton,Kennewick,WA
5YJYGDEE9M,King,Redmond,WA
5YJSA1E29G,King,Issaquah,WA
KL8CL6S01E,King,Seattle,WA
5YJYGDEE7M,King,Seattle,WA
5YJ3E1EB5K,King,Kent,WA
5YJSA1E24H,King,Bellevue,WA
JTDKN3DPXD,King,Redmond,WA
5YJYGDEE6M,Snohomish,Monroe,WA
1N4AZ1CP0J,Benton,Richland,WA
5YJSA1E28J,King,Redmond,WA
JHMZC5F33J,King,Seattle,WA
1C4JJXP60N,King,Seattle,WA
5YJSA1E28H,Pierce,Gig Harbor,WA
1N4AZ0CP1D,Jefferson,Port Townsend,WA
5YJYGDEE4M,Snohomish,Mukilteo,WA
5YJXCDE23L,Thurston,Olympia,WA
WVGTMPE23M,King,Kirkland,WA
5YJXCAE2XL,King,Kirkland,WA
5YJSA1E21H,King,Kirkland,WA
5YJ3E1EAXL,Snohomish,Bothell,WA
5YJYGDEE4L,King,Kirkland,WA
3FA6P0SU1H,King,Shoreline,WA
1C4JJXP64N,Snohomish,Lynnwood,WA
5YJ3E1EBXJ,Whitman,Palouse,WA
JA4J24A57L,Thurston,Olympia,WA
5YJ3E1EB5J,Skagit,Bow,WA
JN1AZ0CP0B,Kitsap,Bainbridge Island,WA
5YJ3E1EB6N,King,Seattle,WA
JHMZC5F15J,King,Seattle,WA
1N4AZ0CP4F,Spokane,Spokane,WA
7SAYGDEE3N,King,Redmond,WA
3FMTK3SU7M,King,Mercer Island,WA
7SAYGDEF3N,King,Kirkland,WA
WMWXP3C0XM,King,Federal Way,WA
5YJ3E1EB2M,Snohomish,Monroe,WA
1N4AZ1BV5P,King,Burien,WA
1G1FZ6S00N,Jefferson,Port Townsend,WA
7SAXCBE54N,King,Kirkland,WA
1N4AZ0CP1D,King,Shoreline,WA
WA13ABGE4M,King,Bellevue,WA
5YJ3E1EA0J,King,Seattle,WA
5UXTA6C00N,King,Bellevue,WA
5YJ3E1EC1N,King,Seattle,WA
1N4BZ1BV0N,King,Auburn,WA
5YJSA1E54M,King,Shoreline,WA
5UXTA6C00N,King,Kirkland,WA
7SAYGDEF2N,Clark,Vancouver,WA
5YJ3E1EBXJ,Snohomish,Edmonds,WA
5YJYGDEF4M,King,Seattle,WA
5YJ3E1EB4L,King,Seattle,WA
5YJ3E1ECXM,King,Bellevue,WA
JN1AZ0CP6C,King,Seattle,WA
5YJ3E1EAXK,Kitsap,Bremerton,WA
3FA6P0SU2J,King,Auburn,WA
5YJ3E1EA1L,Snohomish,Lynnwood,WA
1G1RE6E41D,Kitsap,Port Orchard,WA
7SAYGDEE9N,King,Kirkland,WA
7SAYGDEFXP,Kitsap,Silverdale,WA
1G1RA6S53H,Snohomish,Everett,WA
WVGDMPE20M,Pierce,Lakebay,WA
5UXTA6C00N,Yakima,Yakima,WA
5YJ3E1EC2N,King,Bellevue,WA
KNDCC3LG9L,King,Kirkland,WA
5YJ3E1EA1L,King,Bellevue,WA
1G1FZ6S07N,King,Seattle,WA
1C4JJXP67M,Thurston,Olympia,WA
1G1RA6S52H,Snohomish,Edmonds,WA
7JRH60FL7N,King,Bellevue,WA
3FMTK3SS7M,Kitsap,Port Orchard,WA
5YJ3E1EB2L,King,Seattle,WA
5YJSA1E25G,King,Kirkland,WA
5YJYGAEE9M,King,Renton,WA
5YJYGDEE1M,King,Sammamish,WA
1N4AZ0CP7F,King,Shoreline,WA
5YJXCDE45L,King,Seattle,WA
KNDJX3AE5G,King,Renton,WA
1N4AZ0CP4E,Snohomish,Lake Stevens,WA
5YJYGDEE8M,Snohomish,Monroe,WA
7SAYGDEE6N,Pierce,University Place,WA
